Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,14-79,195.00,156.00
Item,26-1576,498.00,395.00
Item,1-64,"1,650.00",999.00
Item,26-1372,"5,650.00","3,095.00"
Item,16-56,140.00,29.00
Item,26-1420,"7,850.00","5,995.00"
Item,16-58,42.00,9.00
Item,26-1027,"10,350.00","5,250.00"
Item,16-60,20.00,6.00
Item,26-1202,"4,950.00","3,995.00"
Item,16-63,67.00,20.00
Item,26-1026,"4,495.00","1,573.00"
Item,16-64,5.00,1.00
Item,26-1283,"2,995.00","1,895.00"
Item,16-65,160.00,34.00
Item,26-1445,"1,995.00","1,795.00"
Item,16-67,14.00,4.00
Item,26-1364,"3,200.00","2,495.00"
Item,16-68,30.00,9.00
Item,26-830,485.00,395.00
Item,16-69,12.00,7.00
Item,99-990,85.00,54.00
Item,16-73,110.00,49.00
Item,26-782,780.00,695.00
Item,16-74,37.00,11.00
Item,26-384,998.00,795.00
Item,1-69,680.00,204.00
Item,26-1170,898.00,795.00
Item,18-212,42.00,19.00
Item,26-1612,965.00,795.00
Item,18-283,95.00,20.00
Item,26-1495,950.00,760.00
Item,18-429,9.00,2.00
Item,26-1610,"1,295.00","1,165.00"
Item,18-450,5.00,1.00
Item,26-1368,"2,300.00","1,288.00"
Item,18-461,7.00,1.00
Item,26-1366,335.00,295.00
Item,18-567,11.00,3.00
Item,26-1632,895.00,595.00
Item,18-584,12.00,3.00
Item,26-1631,895.00,795.00
Item,18-593,115.00,24.00
Item,26-623,780.00,702.00
Item,18-625,15.00,5.00
Item,26-797,585.00,526.00
Item,18-644,7.00,5.00
Item,26-629,"2,100.00","1,680.00"
Item,18-648,9.00,3.00
Item,26-1178,"5,450.00","3,995.00"
Item,18-653,197.00,41.00
Item,26-1209,597.00,495.00
Item,18-658,2.00,1.00
Item,18-659,17.00,4.00
Item,18-661,125.00,38.00
Item,18-662,197.00,59.00
Item,18-669,10.00,2.00
Item,18-670,10.00,2.00
Item,18-676,15.00,4.00
Item,18-682,67.00,14.00
Item,18-691,132.00,27.00
Item,18-693,99.00,49.00
Item,18-694,110.00,55.00
Item,18-695,15.00,5.00
Item,18-697,20.00,6.00
Item,18-705,82.00,18.00
Item,18-706,51.00,14.00
Item,18-712,159.00,33.00
Item,18-713,17.00,5.00
Item,18-717,55.00,12.00
Item,18-719,31.00,9.00
Item,18-720,22.00,7.00
Item,18-721,42.00,13.00
Item,18-722,10.00,3.00
Item,18-723,105.00,22.00
Item,18-725,30.00,9.00
Item,18-728,20.00,5.00
Item,18-729,47.00,14.00
Item,18-733,32.00,8.00
Item,18-734,12.00,3.00
Item,18-740,20.00,6.00
Item,18-741,32.00,7.00
Item,18-759,10.00,2.00
Item,18-760,58.00,38.00
Item,18-762,25.00,8.00
Item,18-763,32.00,10.00
Item,18-767,82.00,18.00
Item,18-768,140.00,42.00
Item,18-788,50.00,11.00
Item,18-789,35.00,8.00
Item,18-790,12.00,3.00
Item,18-794,20.00,6.00
