SKU,Part#,DESC EN,img links
1-157,31101000000127,GAMO COYOTE   .22 HP 5.5 CAL,https://alrimaya.com/image/catalog/product/1930/gamo-coyote-6300-1930-thumb.jpg
11-570,31111000000479,WORKING LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-570%20(5).png
11-572,31111000000481,CAMPING LANTERN,https://alrimaya.com/image/catalog/product-11-12-13-14/11-572%20(1).png
11-573,31111000000482,4M STAINLESS STEEL STICK 1600LM REMOTE BAG 7.5M,https://alrimaya.com/image/catalog/11-12-13-14/11-573-(2).png
11-574,31111000000483,10W CREE T6 LED RECHARGEABLE SPOTLIGHT 1100LM,https://i.ibb.co/7K84Gkq/Whats-App-Image-2023-03-12-at-6-39-03-PM.jpg
11-576,31111000000485,27W OUTDOOR SCENE LIGHT/CAMPING LIGHT 1800LM,https://alrimaya.com/image/catalog/product/1180/11-576-(7)-1180-thumb.jpg
11-577,31111000000486,CAMPING LIGHT 6.3M FULL FIBER 27W,https://alrimaya.com/image/cache/catalog/product-11-12-13-14/11-577%20(1)-800x800.png
11-579,31111000000488,SOLAR LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-579%20(2).png
1-158,31101000000129,GAMO COYOTE .377 HP 4.5 CAL,https://gamo.co.za/wp-content/uploads/nc/g/a/gamo_coyote_pcp_4.5mm_air_rifle.jpg
11-580,31111000000489,SOLAR LIGHT,https://alrimaya.com/image/catalog/11-12-13-14/11-580%20(1).png
